BOUNDARY	v5:る	-1.2494
BOUNDARY	v5:れ	-0.0084
BOUNDARY	v5:ん	-1.4723
BOUNDARY	v5:ム	0.6218
BOUNDARY	vs-i	-0.8760
BOUNDARY	vs-i:る	-1.1265
BOUNDARY	w:あった	-1.5059
BOUNDARY	w:あなた	1.4815
BOUNDARY	w:あの	1.5511
BOUNDARY	w:あります	-2.3592
BOUNDARY	w:ある	-1.3183
BOUNDARY	w:いい	-0.4620
BOUNDARY	w:いう	-1.4843
BOUNDARY	w:いけない	-1.6335
BOUNDARY	w:いつ	0.7942
BOUNDARY	w:いつも	-0.0294
BOUNDARY	w:いる	-2.3098
BOUNDARY	w:お	0.6437
BOUNDARY	w:か	-1.9469
BOUNDARY	w:から	-2.0676
BOUNDARY	w:が	-2.1668
BOUNDARY	w:きた	-1.7870
BOUNDARY	w:ください	-1.5941
BOUNDARY	w:くれた	-2.7376
BOUNDARY	w:くれる	-1.4933
BOUNDARY	w:ここ	1.1235
BOUNDARY	w:こと	-0.7769
BOUNDARY	w:この	1.6222
BOUNDARY	w:これ	1.6727
BOUNDARY	w:ご	0.9868
BOUNDARY	w:さ	0.5890
BOUNDARY	w:された	-2.5076
BOUNDARY	w:さん	1.5459
BOUNDARY	w:し	-2.3540
BOUNDARY	w:した	-2.7643
BOUNDARY	w:したい	-0.6366
BOUNDARY	w:して	-2.4369
BOUNDARY	w:していた	-2.1066
BOUNDARY	w:している	-3.3294
BOUNDARY	w:しない	-1.8334
BOUNDARY	w:します	-1.2961
BOUNDARY	w:しまった	-1.9647
BOUNDARY	w:すぐ	0.5181
BOUNDARY	w:すぐに	0.6292
BOUNDARY	w:する	-3.1244
BOUNDARY	w:ずっと	-0.6065
BOUNDARY	w:そう	0.4716
BOUNDARY	w:そこ	0.7884
BOUNDARY	w:その	1.3478
BOUNDARY	w:それ	1.3684
BOUNDARY	w:そんな	1.1880
BOUNDARY	w:たい	-0.5828
BOUNDARY	w:たくさん	-0.3079
BOUNDARY	w:たち	-2.4414
BOUNDARY	w:ため	-0.3049
BOUNDARY	w:ために	-0.3893
BOUNDARY	w:だ	-2.8605
BOUNDARY	w:だけ	-1.1143
BOUNDARY	w:だった	-2.5241
BOUNDARY	w:だろう	-0.9176
BOUNDARY	w:つもり	-0.4922
BOUNDARY	w:で	-2.6803
BOUNDARY	w:であった	-1.3651
BOUNDARY	w:である	-2.7887
BOUNDARY	w:できない	-2.2539
BOUNDARY	w:できる	-0.9125
BOUNDARY	w:でした	-1.7081
BOUNDARY	w:でしょう	-0.8950
BOUNDARY	w:です	-2.0986
BOUNDARY	w:ですか	-1.7682
BOUNDARY	w:ではない	-2.7819
BOUNDARY	w:でも	-0.1005
BOUNDARY	w:と	-0.6061
BOUNDARY	w:という	-0.1293
BOUNDARY	w:とき	-1.7978
BOUNDARY	w:ところ	-0.3536
BOUNDARY	w:として	-1.7817
BOUNDARY	w:とても	-0.0207
BOUNDARY	w:とは	-1.2113
BOUNDARY	w:どう	-0.3620
BOUNDARY	w:どこ	0.4336
BOUNDARY	w:どんな	0.9401
BOUNDARY	w:な	-2.0660
